Date;Hyper23_;Physali;BroMine__;laloutresolide;Tintamax;NoRat4me;MrJerem1054;Trinom;goombaterror;ted_bouletteHD;Maalcha;WayziiK;Pacffpifff;JOK0X;Rompopo;LipikYT;Nekiroks;miner1166;Romanitors;Zero_Respect;RaiiZou;L0wBly;hades666__;blunt38;Slibidjy;WizZLe___;Eclair93;LifeIsPurple_;ARWO_BN95;Mompty;DMTsix;ChefDrLeGuiDu69;Kungun33;Mejou;lzxa2;0livierMinecraft;Amnz08;Tixam;Yuno436;NuuucKK_;MugiwaraBakaYaro;Bazinz1YT;NewZeWeR;MorgannThs;OshaKomo;Risano;toxyk06;cosmic_limule;Ytree6239;WyShirong;Tchiiko;Mister_Outop9;Exionne;Stazya;Timaitre;Livreur_DHL;Estal_payyz;Shaif49;Ruruwash;GxPeyz;ADN_PAUL;ourstordu;F0rtimel;MaxoO0u;RGKxinvincible;Sohammy7;SkyZix22;Ewzyz;KickzXVI;_RyZeh;AzRiox;Kamitsura;Bacon50;BellArnaque;blackvoid38;AnGeliX80;Septic_4ever;SarKyous;TortueBeVert;IamVeryBad__;UnNainConvenu;Fantatus;Kooro_;OveR_Flamme;Artefis;Zalenco;Ziratox;PlotPlotted;John270723;ImNotMe__;Monkeytitan_tv;Crepe0sucre_;3FPSPrime;SkyGrall;BigEDCubs;Xragolf;Instincty_LeGoat;Raslagafe;lerouleurpro;toto76700;Dicaprio_prime;MathCraft_8;rinra_;ZeuSWiSe9119;_Naytixs;Snaft64;Kyokko_;Redgurd;La_Mouette__;RushEnderYt;Mat_09;Isaac_Foster_YT;IISkylowII;BOEY658;Necromantien;oramni23;BusEscargot1172;_Xultra_;xTempestWolfx;zKishuxeio;Alexx3909
12/03/2024 21h35;45807411123.0;94873915222.0;131503422034.0;35428932153.0;37664882364.0;;;70146641320.0;;;;87480003514.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29050290813.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34834133355.0;;;;280743778739.0;;;
13/03/2024 17h07;60945013459.0;114211917483.0;187238337459.0;44339495647.0;43181735302.0;;;86009325691.0;;;;98675503298.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30250662778.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33724848131.0;;;;;34834133355.0;;;;353624939475.0;;;
14/03/2024 15h16;88893570775.0;158514700937.0;296970354328.0;57411605559.0;62384083762.0;;;122062855512.0;;;;117731927216.0;;46342643900.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36331694146.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42125986897.0;;;;;36855901460.0;;;;373280199767.0;;;
15/03/2024 10h29;104878131065.0;182573987007.0;377305012525.0;66094975909.0;69692933331.0;;;144788121794.0;;;;138270198891.0;;50388783058.0;;;;;;;;;;;;;;;;;;;;;;;;;;39458721329.0;;;;;36331694146.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47768909641.0;;;;;38906554132.0;;;;373280199767.0;;;
16/03/2024 15h03;149474036566.0;222145560966.0;579106375440.0;97861990245.0;90522325181.0;;;198664517189.0;;;;172708344983.0;;70096803710.0;;;;;;;;;;;;;;;;;;;;;;;;;;52521668399.0;;;;;40428495519.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61696463248.0;;;;;47962946897.0;;;;373280199767.0;;;
17/03/2024 16h33;202651855240.0;277021420210.0;760485601823.0;;128391492614.0;;;261492764870.0;;;;233852056785.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;373280199767.0;;;
18/03/2024 15h25;261505650919.0;324464311368.0;991335152668.0;144843949859.0;166008637034.0;;;314974747049.0;;;;271891484349.0;;103498101244.0;;;;;;;;;;;;;;;;;;;;;;;;;;64917847419.0;;;;;51327613655.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90070047820.0;;;;;50436801449.0;;;;373280199767.0;;;
19/03/2024 15h37;357850477452.0;423800600241.0;1394929210835.0;158872291201.0;218681916819.0;;;388625996510.0;;;;325674711106.0;;127337298471.0;;;;;;;;;;;;;;;;;;;;;;;;;85128726513.0;80789422448.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103082999365.0;;;;;;;;;;;;;;;;;;;109926457306.0;;;;;;;;;373280199767.0;;;85081172394.0
20/03/2024 03h05;395743785423.0;481893397614.0;1645369776236.0;181902337195.0;258955133189.0;;;444979808217.0;;;;353367856960.0;;146020698058.0;;;;;;;;;;;;;;;;;;;;;;;;;85128726513.0;98231579006.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108418321984.0;;;;;;;;;;;;;;;;;;;122002022414.0;;;;;;;;;373280199767.0;;;95466192419.0
21/03/2024 16h58;542816537034.0;633685438668.0;2656957073060.0;233496196266.0;392203874143.0;;;606004295693.0;;;;432074446422.0;;194007440458.0;;;;;;;;;;;;;;;;;;;;;;;;;144077161650.0;129211349142.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140457133831.0;;;;;;;;;;;;;;;;;;;182142189031.0;;;;;;;;;373280199767.0;;;119628229268.0
